Code,CanonicalValue,LegacyValues
A,A - General Works,A - General Works - General
AC,AC - Collections & Series & Collected Works,AC - General Works - Collections/Series/Collected Works
AE,AE - Encyclopedias,AE - General Works - Encyclopedias
AG,AG - Dictionaries and Other General Reference Works,AG - General Works - Dictionaries and Other General Reference Works
AI,AI - Indexes,AI - General Works - Indexes
AM,AM - Museums & Collecting,AM - General Works - Museums/Collectors and Collecting
AN,AN - Newspapers,AN - General Works - Newspapers
AP,AP - Periodicals,AP - General Works - Periodicals
AS,AS - Academies and Learned Societies,AS - General Works - Academies and Learned Socieites
AY,AY - Yearbooks & Almanacs & Directories,AY - General Works - Yearbooks/Almanacs/Directories
AZ,AZ - History of Scholarship & The Humanities,AZ - History of Scholarship and Learning / The Humanities|AZ - General Works - History of Scholarship and Learning/The Humanities
B,B - Philosophy General,B - Philosophy/Psychology/Religion - Philosophy (General)
BC,BC - Logic,BC - Philosophy/Psychology/Religion - Logic
BD,BD - Speculative Philosophy,BD - Philosophy/Psychology/Religion - Speculative Philosophy
BF,BF - Psychology,BF - Philosophy/Psychology/Religion - Psychology|BF - Philosophy/Psychology/Religion - Psychology / Occult Sciences
BH,BH - Aesthetics,BH - Philosophy/Psychology/Religion - Aesthetics
BJ,BJ - Ethics,BJ - Philosophy/Psychology/Religion - Ethics
BL,BL - Religions & Mythology & Rationalism,BL - Philosophy/Psychology/Religion - Religions/Mythology/Rationalism|BL - Philosophy/Psychology/Religion - Religions / Mythology / Rationalism
BM,BM - Judaism,BM - Philosophy/Psychology/Religion - Judaism
BP,BP - Islam & Bahai Faith & Theosophy,BP - Islam / Bahaism / Theosophy / Etc|BP - Philosophy/Psychology/Religion - Islam/Bahaism/Theosophy/Etc|BP - Philosophy/Psychology/Religion - Islam / Bahai Faith / Theosophy
BQ,BQ - Buddhism,BQ - Philosophy/Psychology/Religion - Buddhism
BR,BR - Christianity,BR - Philosophy/Psychology/Religion - Christianity
BS,BS - The Bible,BS - Philosophy/Psychology/Religion - The Bible
BT,BT - Doctrinal Theology,BT - Philosophy/Psychology/Religion - Doctrinal Theology
BV,BV - Practical Theology,BV - Philosophy/Psychology/Religion - Practical Theology
BX,BX - Christian Denominations,BX - Philosophy/Psychology/Religion - Christian Denominations
C,C - Auxiliary Sciences of History General,C - Auxiliary Sciences of History - Auxiliary Sciences of History (General)
CB,CB - History of Civilization,CB - Auxiliary Sciences of History - History of Civilization
CC,CC - Archaeology,CC - Auxiliary Sciences of History - Archaeology
CD,CD - Diplomatics & Archives & Seals,CD - Auxiliary Sciences of History - Diplomatics/Archives/Seals
CE,CE - Technical Chronology & Calendar,CE - Auxiliary Sciences of History - Technical Chronology/Calendar
CJ,CJ - Numismatics,CJ - Auxiliary Sciences of History - Numismatics
CN,CN - Inscriptions & Epigraphy,CN - Auxiliary Sciences of History - Inscriptions/Epigraphy
CR,CR - Heraldry,CR - Auxiliary Sciences of History - Heraldry
CS,CS - Genealogy,CS - Auxiliary Sciences of History - Genealogy
CT,CT - Biography,CT - Auxiliary Sciences of History - Biography
D,D - History General,D - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - History (General)|D - World History and History of Europe/Asia/Africa/Australia/New Zealand/Etc - History (General)
DA,DA - Great Britain,DA - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Great Britain
DAW,DAW - Central Europe,DAW - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Central Europe
DB,DB - Austria & Hungary & Central Europe,DB - Austria / Liechtenstein / Hungary / Czechoslovakia|DB - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Austria/Liechtenstein/Hungary/Czechoslovakia|DB - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Austria / Liechtenstein / Hungary / Czechoslovakia
DC,DC - France & Andorra & Monaco,DC - France / Andorra / Monaco|DC -World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - France/Andorra/Monacco|DC - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - France
DD,DD - Germany,DD - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Germany
DE,DE - Greco-Roman World,DE -World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Greco-Roman World
DF,DF - Greece,DF -World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Greece
DG,DG - Italy & Malta,DG - Italy / Malta|DG - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Italy/Malta
DH,DH - Low Countries & Benelux,DH - Low Countries / Benelux Countries|DH -World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Low Countries/Benelux Countries
DJ,DJ - Netherlands,DJ - Netherlands / Holland|DJ - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Netherlands (Holland)
DJK,DJK - Eastern Europe General,DJK - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Eastern Europe (General)
DK,DK - Russia & Soviet Union & Former Republics,DK - Russia / Soviet Union / Former Soviet Republics / Poland|DK - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Russia/Soviet Union/Former Soviet Republics/Poland|DK - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Russia / Soviet Union / Former Soviet Republics
DL,DL - Northern Europe & Scandinavia,DL - Northern Europe / Scandinavia|DL - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Northern Europe/Scandanavia
DP,DP - Spain & Portugal,DP - Spain / Portugal|DP - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Spain/Portugal|DP - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Spain / Portugal
DQ,DQ - Switzerland,DQ - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Switzerland
DR,DR - Balkan Peninsula,DR - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Balkan Peninsula
DS,DS - Asia,DS - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Asia
DT,DT - Africa,DT - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Africa
DU,DU - Oceania & Pacific,DU - Oceania / South Seas|DU - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Oceania (South Seas)
DX,DX - Romanies,DX - World History/History of Europe/Asia/Africa/Australia/New Zealand/Etc - Romanies
E,E - Americas: General History,E - History of the Americas General|E - History of the Americas - General
E11-143,E11-143 - Americas: Pre-Colonial & Colonial,E11-143 - America|E11-143 - History of the Americas - America
E151-909,E151-909 - United States: History,E151-909 - United States|E151-909 - History of the Americas - United States
F,F - Americas: Local History,F - United States Local History|F - History of the Americas - United States Local History
F1-975,F1-975 - United States: Local & Regional History,F1-975 - United States Local History|F1-975 - History of the Americas - United States Local History
F1001-1145,F1001-1145 - Canada & British America,F1001-1145 - British America Including Canada / Dutch America|F1001-1145 - British America (including Canada)/Dutch America
F1170,F1170 - French America,F1170 - History of the Americas - French America
